"Status";"Gas Day Start (status at 6AM  CEST)";"Gas Day End";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)";"Contracted Capacity (TWh)";"Available Capacity (TWh)"
"C";"2026-05-28";"2026-05-29";"16.3346";"36.06";"0.28";"77.05";"21.2";"130.35";"1.1";"45.3034";"564.33";"733.7";"38.779";"6.5249"
"C";"2026-05-27";"2026-05-28";"16.2064";"35.77";"0.31";"77.05";"21.03";"143.34";"1.1";"45.3034";"564.33";"733.7";"38.779";"6.5249"
"C";"2026-05-26";"2026-05-27";"16.0641";"35.46";"0.23";"77.05";"20.85";"105.63";"2.7";"45.3034";"564.33";"733.7";"38.779";"6.5249"
"C";"2026-05-25";"2026-05-26";"15.9616";"35.23";"0.31";"77.05";"20.72";"142.28";"1.8";"45.3034";"564.33";"733.7";"38.779";"6.5249"
"C";"2026-05-24";"2026-05-25";"15.8218";"34.92";"0.31";"77.05";"20.53";"144.26";"1.9";"45.3034";"564.33";"733.7";"38.779";"6.5249"
"C";"2026-05-23";"2026-05-24";"15.68";"34.61";"0.31";"77.05";"20.35";"141.15";"1.9";"45.3034";"564.33";"733.7";"38.779";"6.5249"
"C";"2026-05-22";"2026-05-23";"15.5413";"34.31";"0.23";"77.05";"20.17";"108.2";"2.8";"45.3034";"564.33";"733.7";"38.779";"6.5249"
"C";"2026-05-21";"2026-05-22";"15.4365";"34.07";"0.26";"77.05";"20.03";"122.19";"5.6";"45.3034";"564.33";"733.7";"38.779";"6.5249"
"C";"2026-05-20";"2026-05-21";"15.3204";"33.82";"0.15";"77.05";"19.88";"80.03";"10";"45.3034";"564.33";"733.7";"38.779";"6.5249"
"C";"2026-05-19";"2026-05-20";"15.2508";"33.66";"0.08";"77.05";"19.79";"95.45";"10.6";"45.3034";"564.33";"733.7";"38.779";"6.5249"
"C";"2026-05-18";"2026-05-19";"15.216";"33.59";"0.18";"77.05";"19.75";"81.58";"2.1";"45.3034";"564.33";"733.7";"38.779";"6.5249"
"C";"2026-05-17";"2026-05-18";"15.1367";"33.41";"0.2";"77.05";"19.65";"93.86";"4.7";"45.3034";"564.33";"733.7";"38.779";"6.5249"
"C";"2026-05-16";"2026-05-17";"15.0478";"33.22";"0.23";"77.05";"19.53";"104.27";"1.2";"45.3034";"564.33";"733.7";"38.779";"6.5249"
"C";"2026-05-15";"2026-05-16";"14.9452";"32.99";"0.19";"77.05";"19.4";"93.08";"8.5";"45.3034";"564.33";"733.7";"38.779";"6.5249"
