id,dataSet,dataSetLabel,indicator,periodType,periodFrom,periodTo,countryKey,countryLabel,bzKey,bzShort,bzLong,operatorKey,operatorLabel,tsoEicCode,directionKey,adjacentSystemsKey,adjacentSystemsLabel,year,month,day,unit,value,countPointPresents,flowStatus,pointsNames,lastUpdateDateTime
"1AggregatesCZCZ---------CZ-TSO-0001entryStorage2020-01-01T00:00:00+00:002020-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2020-01-01 06:00","2020-01-02 06:00",CZ,Czechia,CZ---------,Czech,"Czech Balancing Zone",CZ-TSO-0001,"NET4GAS, s.r.o.",21X000000001304L,entry,Storage,Storage,2020,1,1,kWh/d,242778658,2,Provisionnal,"UGS innogy (innogy Gas Storage)|UGS MND (MNG Gas Storage)|VGS Moravia","2020-01-02 12:36"
1AggregatesCZCZ---------CZ-TSO-0001entryStorage2020-01-01T00:00:00+00:002020-01-02T00:00:00+00:00Allocation,1,Aggregates,Allocation,day,"2020-01-01 06:00","2020-01-02 06:00",CZ,Czechia,CZ---------,Czech,"Czech Balancing Zone",CZ-TSO-0001,"NET4GAS, s.r.o.",21X000000001304L,entry,Storage,Storage,2020,1,1,kWh/d,282961528,3,Provisionnal,"UGS innogy (innogy Gas Storage)|UGS MND (MNG Gas Storage)|VGS Moravia","2020-01-02 12:21"
"1AggregatesCZCZ---------CZ-TSO-0001entryStorage2020-01-02T00:00:00+00:002020-01-03T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2020-01-02 06:00","2020-01-03 06:00",CZ,Czechia,CZ---------,Czech,"Czech Balancing Zone",CZ-TSO-0001,"NET4GAS, s.r.o.",21X000000001304L,entry,Storage,Storage,2020,1,2,kWh/d,278625984,2,Provisionnal,"UGS innogy (innogy Gas Storage)|UGS MND (MNG Gas Storage)|VGS Moravia","2020-01-03 12:33"
1AggregatesCZCZ---------CZ-TSO-0001entryStorage2020-01-02T00:00:00+00:002020-01-03T00:00:00+00:00Allocation,1,Aggregates,Allocation,day,"2020-01-02 06:00","2020-01-03 06:00",CZ,Czechia,CZ---------,Czech,"Czech Balancing Zone",CZ-TSO-0001,"NET4GAS, s.r.o.",21X000000001304L,entry,Storage,Storage,2020,1,2,kWh/d,273842614,3,Provisionnal,"UGS innogy (innogy Gas Storage)|UGS MND (MNG Gas Storage)|VGS Moravia","2020-01-03 12:17"
1AggregatesCZCZ---------CZ-TSO-0001entryStorage2020-01-03T00:00:00+00:002020-01-04T00:00:00+00:00Allocation,1,Aggregates,Allocation,day,"2020-01-03 06:00","2020-01-04 06:00",CZ,Czechia,CZ---------,Czech,"Czech Balancing Zone",CZ-TSO-0001,"NET4GAS, s.r.o.",21X000000001304L,entry,Storage,Storage,2020,1,3,kWh/d,248061999,3,Provisionnal,"UGS innogy (innogy Gas Storage)|UGS MND (MNG Gas Storage)|VGS Moravia","2020-01-04 12:21"
"1AggregatesCZCZ---------CZ-TSO-0001entryStorage2020-01-03T00:00:00+00:002020-01-04T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2020-01-03 06:00","2020-01-04 06:00",CZ,Czechia,CZ---------,Czech,"Czech Balancing Zone",CZ-TSO-0001,"NET4GAS, s.r.o.",21X000000001304L,entry,Storage,Storage,2020,1,3,kWh/d,272873737,2,Provisionnal,"UGS innogy (innogy Gas Storage)|UGS MND (MNG Gas Storage)|VGS Moravia","2020-01-04 12:21"
1AggregatesCZCZ---------CZ-TSO-0001entryStorage2020-01-04T00:00:00+00:002020-01-05T00:00:00+00:00Allocation,1,Aggregates,Allocation,day,"2020-01-04 06:00","2020-01-05 06:00",CZ,Czechia,CZ---------,Czech,"Czech Balancing Zone",CZ-TSO-0001,"NET4GAS, s.r.o.",21X000000001304L,entry,Storage,Storage,2020,1,4,kWh/d,220877668,3,Provisionnal,"UGS innogy (innogy Gas Storage)|UGS MND (MNG Gas Storage)|VGS Moravia","2020-01-05 12:26"
"1AggregatesCZCZ---------CZ-TSO-0001entryStorage2020-01-04T00:00:00+00:002020-01-05T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2020-01-04 06:00","2020-01-05 06:00",CZ,Czechia,CZ---------,Czech,"Czech Balancing Zone",CZ-TSO-0001,"NET4GAS, s.r.o.",21X000000001304L,entry,Storage,Storage,2020,1,4,kWh/d,226654255,2,Provisionnal,"UGS innogy (innogy Gas Storage)|UGS MND (MNG Gas Storage)|VGS Moravia","2020-01-05 12:26"
1AggregatesCZCZ---------CZ-TSO-0001entryStorage2020-01-05T00:00:00+00:002020-01-06T00:00:00+00:00Allocation,1,Aggregates,Allocation,day,"2020-01-05 06:00","2020-01-06 06:00",CZ,Czechia,CZ---------,Czech,"Czech Balancing Zone",CZ-TSO-0001,"NET4GAS, s.r.o.",21X000000001304L,entry,Storage,Storage,2020,1,5,kWh/d,221286764,3,Provisionnal,"UGS innogy (innogy Gas Storage)|UGS MND (MNG Gas Storage)|VGS Moravia","2020-01-06 12:22"
"1AggregatesCZCZ---------CZ-TSO-0001entryStorage2020-01-05T00:00:00+00:002020-01-06T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2020-01-05 06:00","2020-01-06 06:00",CZ,Czechia,CZ---------,Czech,"Czech Balancing Zone",CZ-TSO-0001,"NET4GAS, s.r.o.",21X000000001304L,entry,Storage,Storage,2020,1,5,kWh/d,237452039,2,Provisionnal,"UGS innogy (innogy Gas Storage)|UGS MND (MNG Gas Storage)|VGS Moravia","2020-01-06 12:22"
