id,dataSet,dataSetLabel,indicator,periodType,periodFrom,periodTo,countryKey,countryLabel,bzKey,bzShort,bzLong,operatorKey,operatorLabel,tsoEicCode,directionKey,adjacentSystemsKey,adjacentSystemsLabel,year,month,day,unit,value,countPointPresents,flowStatus,pointsNames,lastUpdateDateTime
"1AggregatesCZCZ---------CZ-TSO-0001exitDistribution2025-01-01T00:00:00+00:002025-01-02T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2025-01-01 06:00","2025-01-02 06:00",CZ,Czechia,CZ---------,Czech,"Czech Balancing Zone",CZ-TSO-0001,"NET4GAS, s.r.o.",21X000000001304L,exit,Distribution,Distribution,2025,1,1,kWh/d,324611155,1,Provisionnal,"Aggregated Distribution (CZ)","2026-02-02 21:07"
"1AggregatesCZCZ---------CZ-TSO-0001exitDistribution2025-01-02T00:00:00+00:002025-01-03T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2025-01-02 06:00","2025-01-03 06:00",CZ,Czechia,CZ---------,Czech,"Czech Balancing Zone",CZ-TSO-0001,"NET4GAS, s.r.o.",21X000000001304L,exit,Distribution,Distribution,2025,1,2,kWh/d,345259024,1,Provisionnal,"Aggregated Distribution (CZ)","2026-02-02 21:07"
"1AggregatesCZCZ---------CZ-TSO-0001exitDistribution2025-01-03T00:00:00+00:002025-01-04T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2025-01-03 06:00","2025-01-04 06:00",CZ,Czechia,CZ---------,Czech,"Czech Balancing Zone",CZ-TSO-0001,"NET4GAS, s.r.o.",21X000000001304L,exit,Distribution,Distribution,2025,1,3,kWh/d,350055263,1,Provisionnal,"Aggregated Distribution (CZ)","2026-02-02 21:07"
"1AggregatesCZCZ---------CZ-TSO-0001exitDistribution2025-01-04T00:00:00+00:002025-01-05T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2025-01-04 06:00","2025-01-05 06:00",CZ,Czechia,CZ---------,Czech,"Czech Balancing Zone",CZ-TSO-0001,"NET4GAS, s.r.o.",21X000000001304L,exit,Distribution,Distribution,2025,1,4,kWh/d,344278977,1,Provisionnal,"Aggregated Distribution (CZ)","2026-02-02 21:07"
"1AggregatesCZCZ---------CZ-TSO-0001exitDistribution2025-01-05T00:00:00+00:002025-01-06T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2025-01-05 06:00","2025-01-06 06:00",CZ,Czechia,CZ---------,Czech,"Czech Balancing Zone",CZ-TSO-0001,"NET4GAS, s.r.o.",21X000000001304L,exit,Distribution,Distribution,2025,1,5,kWh/d,360980462,1,Provisionnal,"Aggregated Distribution (CZ)","2026-02-02 21:07"
"1AggregatesCZCZ---------CZ-TSO-0001exitDistribution2025-01-06T00:00:00+00:002025-01-07T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2025-01-06 06:00","2025-01-07 06:00",CZ,Czechia,CZ---------,Czech,"Czech Balancing Zone",CZ-TSO-0001,"NET4GAS, s.r.o.",21X000000001304L,exit,Distribution,Distribution,2025,1,6,kWh/d,359301232,1,Provisionnal,"Aggregated Distribution (CZ)","2026-02-02 21:07"
"1AggregatesCZCZ---------CZ-TSO-0001exitDistribution2025-01-07T00:00:00+00:002025-01-08T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2025-01-07 06:00","2025-01-08 06:00",CZ,Czechia,CZ---------,Czech,"Czech Balancing Zone",CZ-TSO-0001,"NET4GAS, s.r.o.",21X000000001304L,exit,Distribution,Distribution,2025,1,7,kWh/d,354589206,1,Provisionnal,"Aggregated Distribution (CZ)","2026-02-02 21:07"
"1AggregatesCZCZ---------CZ-TSO-0001exitDistribution2025-01-08T00:00:00+00:002025-01-09T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2025-01-08 06:00","2025-01-09 06:00",CZ,Czechia,CZ---------,Czech,"Czech Balancing Zone",CZ-TSO-0001,"NET4GAS, s.r.o.",21X000000001304L,exit,Distribution,Distribution,2025,1,8,kWh/d,353720816,1,Provisionnal,"Aggregated Distribution (CZ)","2026-02-02 21:07"
"1AggregatesCZCZ---------CZ-TSO-0001exitDistribution2025-01-09T00:00:00+00:002025-01-10T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2025-01-09 06:00","2025-01-10 06:00",CZ,Czechia,CZ---------,Czech,"Czech Balancing Zone",CZ-TSO-0001,"NET4GAS, s.r.o.",21X000000001304L,exit,Distribution,Distribution,2025,1,9,kWh/d,325514028,1,Provisionnal,"Aggregated Distribution (CZ)","2026-02-02 21:07"
"1AggregatesCZCZ---------CZ-TSO-0001exitDistribution2025-01-10T00:00:00+00:002025-01-11T00:00:00+00:00Physical Flow",1,Aggregates,"Physical Flow",day,"2025-01-10 06:00","2025-01-11 06:00",CZ,Czechia,CZ---------,Czech,"Czech Balancing Zone",CZ-TSO-0001,"NET4GAS, s.r.o.",21X000000001304L,exit,Distribution,Distribution,2025,1,10,kWh/d,350172308,1,Provisionnal,"Aggregated Distribution (CZ)","2026-02-02 21:07"
